n,time
1767,5335
1768,5330
1769,5330
1770,5325
1771,5336
1772,5334
1773,5340
1774,5329
1775,5340
1776,5331
1777,5331
1778,5355
1779,5333
1780,5344
1781,5326
1782,5331
1783,5338
1784,5330
1785,5341
1786,5366
1787,5359
1788,5357
1789,5335
1790,5268
1791,5366
1792,5336
1793,5351
1794,5330
1795,5356
1796,5332
1797,5333
1798,5328
1799,5337
1800,5333
1801,5327
1802,5346
1803,5332
1804,5326
1805,5335
1806,5328
1807,5327
1808,5324
1809,5341
1810,5332
1811,5344
1812,5627
1813,5332
1814,5339
1815,5343
1816,5329
1817,5327
1818,5343
1819,5345
1820,5331
1821,5330
1822,5343
1823,5331
1824,5326
1825,5365
1826,5331
1827,5338
1828,5347
1829,5243
1830,5332
1831,5236
1832,5335
1833,5346
1834,5339
1835,5338
1836,5357
1837,5255
1838,5329
1839,5274
1840,5329
1841,5351
1842,5349
1843,5365
1844,5339
1845,5330
1846,5327
1847,5297
1848,5335
1849,5344
1850,5334
1851,5336
1852,5365
1853,5358
1854,5355
1855,5325
1856,5386
1857,5330
1858,5333
1859,5229
1860,5357
1861,5340
1862,5321
1863,5330
1864,5353
1865,5305
1866,5286
1867,5336
1868,5347
1869,5333
1870,5349
1871,5374
1872,5369
1873,5341
1874,5334
1875,5329
1876,5333
1877,5339
1878,5336
1879,5330
1880,5337
1881,5330
1882,5349
1883,5337
1884,5351
1885,5334
1886,5370
1887,5352
1888,5363
1889,5339
1890,5648
1891,5338
1892,5306
1893,5357
1894,5308
1895,5362
1896,5343
1897,5362
1898,5381
1899,5367
1900,5372
1901,5351
1902,5364
1903,5359
1904,5361
1905,5388
1906,5329
1907,5335
1908,5324
1909,5330
1910,5358
1911,5336
1912,5335
1913,5365
1914,5333
1915,5380
1916,5364
1917,5343
1918,5310
1919,5331
1920,5343
1921,5335
1922,5313
1923,5336
1924,5329
1925,5336
1926,5333
1927,5345
1928,5358
1929,5373
1930,5365
1931,5353
1932,5368
1933,5359
1934,5346
1935,5359
1936,5367
1937,5354
1938,5356
1939,5347
1940,5338
1941,5334
1942,5328
1943,5335
1944,5344
1945,5333
1946,5331
1947,5333
1948,5222
1949,5352
1950,5330
1951,5315
1952,5327
1953,5372
1954,5332
1955,5386
1956,5348
1957,5355
1958,5360
1959,5337
1960,5335
1961,5347
1962,5331
1963,5330
1964,5335
1965,5342
1966,5343
1967,5339
1968,5328
1969,5327
1970,5333
1971,5327
1972,5336
1973,5355
1974,5354
1975,5325
1976,5343
1977,5294
1978,5336
1979,5349
1980,5341
1981,5342
1982,5326
1983,5333
1984,5325
1985,5325
1986,5346
1987,5303
1988,5358
1989,5359
1990,5332
1991,5347
1992,5340
1993,5331
1994,5327
1995,5334
1996,5325
1997,5336
1998,5328
1999,5333
2000,5329
2001,5328
2002,5354
2003,5271
2004,5333
2005,5310
2006,5337
2007,5351
2008,5328
2009,5327
2010,5330
2011,5342
2012,5332
2013,5328
2014,5341
2015,5336
2016,5332
2017,5333
2018,5327
2019,5313
2020,5299
2021,5349
2022,5327
2023,5335
2024,5329
2025,5328
2026,5339
2027,5330
2028,5324
2029,5327
2030,5337
2031,5327
2032,5339
2033,5358
2034,5349
2035,5344
2036,5335
2037,5338
2038,5329
2039,5339
2040,5353
2041,5368
2042,5364
2043,5325
2044,5331
2045,5378
2046,5349
2047,5356
2048,5333
2049,5342
2050,5335
2051,5343
2052,5345
2053,5326
2054,5336
2055,5333
2056,5358
2057,5328
2058,5327
2059,5332
2060,5336
2061,5332
2062,5326
2063,5294
2064,6060
2065,5375
2066,5341
2067,5334
2068,5344
2069,5330
2070,5349
2071,5422
2072,5347
2073,5339
2074,5361
2075,5355
2076,5335
2077,5343
2078,5359
2079,5327
2080,5332
2081,5326
2082,5328
2083,5324
2084,5337
2085,5336
2086,5325
2087,5340
2088,5342
2089,5329
2090,5370
2091,5274
2092,5355
2093,5331
2094,5369
2095,5360
2096,5339
2097,5331
2098,5330
2099,5334
2100,5341
2101,5328
2102,5329
2103,5330
2104,5324
2105,5329
2106,5327
2107,5338
2108,5328
2109,5336
2110,5330
2111,5327
2112,5327
2113,5337
2114,5327
2115,5347
2116,5359
2117,5325
2118,5329
2119,5327
2120,5342
2121,5329
2122,5339
2123,5335
2124,5337
2125,5343
2126,5325
2127,5331
2128,5324
2129,5331
2130,5335
2131,5344
2132,5331
2133,5328
2134,5338
2135,5331
2136,5332
2137,5328
2138,5347
2139,5321
2140,5362
2141,5340
2142,5331
2143,5344
2144,5345
2145,5304
2146,5364
2147,5379
2148,5209
2149,5264
2150,5361
2151,5338
2152,5338
2153,5329
2154,5336
2155,5334
2156,5340
2157,5335
2158,5345
2159,5246
2160,5423
2161,5336
2162,5332
